,Country names,DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
107,EA19,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EA19,2021,7.7,
108,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2010,16.6,
109,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2011,12.3,
110,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2012,9.9,
111,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2013,8.6,
112,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2014,7.3,
113,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2015,6.4,
114,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2016,6.8,
115,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2017,5.8,
116,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2018,5.4,
117,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2019,4.5,
118,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2020,6.9,
119,Estonia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EE,2021,6.2,
120,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2010,12.9,
121,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2011,18.1,
122,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2012,24.8,
123,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2013,27.8,
124,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2014,26.6,
125,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2015,25.0,
126,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2016,23.9,
127,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2017,21.8,
128,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2018,19.7,
129,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2019,17.9,
130,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2020,17.6,
131,Greece,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EL,2021,14.7,
132,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2010,19.9,
133,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2011,21.4,
134,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2012,24.8,
135,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2013,26.1,
136,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2014,24.5,
137,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2015,22.1,
138,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2016,19.6,
139,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2017,17.2,
140,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2018,15.3,
141,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2019,14.1,
142,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2020,15.5,
143,Spain,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,ES,2021,14.8,d
144,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2010,10.1,
145,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2011,10.1,
146,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2012,11.1,
147,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2013,11.6,
148,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2014,11.0,
149,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2015,10.2,
150,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2016,9.3,
151,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2017,8.3,
152,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2018,7.4,
